Randomizer Version: 4.6.0-dev
Random Seed: 166429477210202
Settings String: 321WRIEEnKKAo0CkAKRAAKeBhtESQEAFAACCQAuMgAAAAACwhCI2gTkwYYICTIHBwMyAAUYAsIQiAAAAAAJUG9rZW1vbiBYsrKwYoTcQEI=

--Randomized Evolutions--
Bulbasaur       -> Nidorino       
Ivysaur         -> Serperior      
Charmander      -> Fletchinder    
Charmeleon      -> Magmar         
Squirtle        -> Pelipper       
Wartortle       -> Golduck        
Caterpie        -> Cascoon        
Metapod         -> Dustox         
Weedle          -> Scatterbug     
Kakuna          -> Weepinbell     
Pidgey          -> Natu           
Pidgeotto       -> Wigglytuff     
Rattata         -> Delcatty       
Spearow         -> Ambipom        
Ekans           -> Dragalge       
Pikachu         -> Luxray         
Sandshrew       -> Gastrodon      
Nidoran♀        -> Stunky         
Nidorina        -> Amoonguss      
Nidoran♂        -> Beedrill       
Nidorino        -> Tentacruel     
Clefairy        -> Slurpuff       
Vulpix          -> Rapidash       
Jigglypuff      -> Azumarill      
Zubat           -> Masquerain     
Golbat          -> Aerodactyl     
Oddish          -> Grovyle        
Gloom           -> Roserade and Seviper
Paras           -> Volbeat        
Venonat         -> Arbok          
Diglett         -> Quagsire       
Meowth          -> Purugly        
Psyduck         -> Seismitoad     
Mankey          -> Hawlucha       
Growlithe       -> Emboar         
Poliwag         -> Prinplup       
Poliwhirl       -> Jellicent and Relicanth
Abra            -> Duosion        
Kadabra         -> Delphox        
Machop          -> Throh          
Machoke         -> Hitmonchan     
Bellsprout      -> Nuzleaf        
Weepinbell      -> Muk            
Tentacool       -> Nidoking       
Geodude         -> Boldore        
Graveler        -> Gigalith       
Ponyta          -> Heatmor        
Slowpoke        -> Musharna and Poliwrath
Magnemite       -> Emolga         
Magneton        -> Eelektross     
Doduo           -> Tropius        
Seel            -> Politoed       
Grimer          -> Garbodor       
Shellder        -> Dewgong        
Gastly          -> Roselia        
Haunter         -> Gourgeist      
Onix            -> Donphan        
Drowzee         -> Jynx           
Krabby          -> Ludicolo       
Voltorb         -> Manectric      
Exeggcute       -> Leafeon        
Cubone          -> Pupitar        
Lickitung       -> Cinccino       
Koffing         -> Toxicroak      
Rhyhorn         -> Nidoqueen      
Rhydon          -> Torterra       
Chansey         -> Porygon-Z      
Tangela         -> Victreebel     
Horsea          -> Lumineon       
Seadra          -> Feraligatr     
Goldeen         -> Croconaw       
Staryu          -> Simipour       
Scyther         -> Charizard      
Electabuzz      -> Ampharos       
Magmar          -> Volcarona      
Magikarp        -> Vaporeon       
Eevee           -> Tangrowth, Cloyster, Electrode, Slowbro, Talonflame, Carbink, Slowking and Drapion
Porygon         -> Stantler       
Omanyte         -> Kabutops       
Kabuto          -> Crustle        
Dratini         -> Sliggoo        
Dragonair       -> Salamence      
Chikorita       -> Swadloon       
Bayleef         -> Sawsbuck       
Cyndaquil       -> Braixen        
Quilava         -> Magmortar      
Totodile        -> Qwilfish       
Croconaw        -> Lapras         
Sentret         -> Swellow        
Hoothoot        -> Bibarel        
Ledyba          -> Vullaby        
Spinarak        -> Yanma          
Chinchou        -> Gorebyss       
Pichu           -> Voltorb        
Cleffa          -> Mime Jr.       
Igglybuff       -> Ditto          
Togepi          -> Floette        
Togetic         -> Noivern        
Natu            -> Girafarig      
Mareep          -> Chinchou       
Flaaffy         -> Lanturn        
Marill          -> Basculin       
Hoppip          -> Pumpkaboo      
Skiploom        -> Cherrim        
Aipom           -> Chansey        
Sunkern         -> Maractus       
Yanma           -> Altaria        
Wooper          -> Diggersby      
